,Company,Industry,Sector,Main_Office,start_up
0,63 Moons Technologies ,Technology ,Software ,Mumbai ,1988 
1,Aban Offshore ,Energy ,Oil & gas offshore drilling & other services ,Chennai ,1986 
2,ABG Shipyard ,Industrials ,Shipbuilding ,Ahmedabad ,1985 
3,ABP Group ,Consumer services ,Broadcasting & entertainment ,Kolkata ,1922 
4,ACC ,Industrials ,Cement ,Mumbai ,1936 
5,ACG Group ,Industrials ,Machinery: specialty ,Mumbai ,1961 
6,Acko General Insurance ,Insurance ,Full line insurance ,Mumbai ,2016 
7,Action Construction Equipment ,Industrials ,Machinery: construction & handling ,Faridabad ,1995 
8,Action Group ,Conglomerate ,— ,New Delhi ,1972 
9,Adani Group ,Conglomerate ,— ,Ahmedabad ,1988 
10,Adani Power ,Utilities ,Alternative electricity ,Mumbai ,1910 
11,Aditya Birla Fashion and Retail ,Retail ,Apparel retailers ,Mumbai ,1997 
12,Aditya Birla Group ,Conglomerate ,— ,Mumbai ,1857 
13,Ador Group ,Conglomerate ,— ,Mumbai ,1977 
14,Advanced Weapons and Equipment India ,Industrials ,Defense ,Kanpur ,2021 
15,Afcons Infrastructure ,Industrials ,Construction ,Mumbai ,1959 
16,Agriculture Insurance Company of India ,Insurance ,Full line insurance ,New Delhi ,2002 
17,Air Costa ,Consumer services ,Airlines ,Vijayawada ,2013 
18,Air India ,Consumer services ,Airlines ,New Delhi ,1932 
19,Air India Express ,Consumer services ,Airlines ,Kochi ,2005 
20,Ajanta Group ,Conglomerate ,— ,Ahmedabad ,1971 
21,Alkem Laboratories ,Health care ,Pharmaceuticals ,Mumbai ,1973 
22,Allcargo Logistics ,Industrials ,Transportation services ,Mumbai ,1993 
23,Amartex ,Retail ,Apparel retailers ,Gurugram ,1984 
24,Ambuja Cements ,Industrials ,Cement ,Mumbai ,1983 
25,Amrutanjan Healthcare ,Health care ,Ayurvedic producers ,Chennai ,1893 
26,Amul ,Consumer goods ,Food products ,Anand ,1946 
27,Angel One ,Financials ,Investment services ,Mumbai ,1996 
28,Apollo Hospitals ,Health care ,Health care providers ,Chennai ,1983 
29,Apollo Tyres ,Consumer goods ,Tires ,Gurugram ,1972 
30,Aptech ,Industrials ,Business training & employment agencies ,Mumbai ,1986 
31,Archies ,Retail ,Specialty retailers ,New Delhi ,1979 
32,Arise India ,Consumer goods ,Consumer electronics ,Delhi ,1995 
33,Armoured Vehicles Nigam ,Industrials ,Defense ,Chennai ,2021 
34,Artemis Hospital ,Health care ,Health care providers ,Gurugram ,2007 
35,Arvind ,Conglomerate ,— ,Ahmedabad ,1931 
36,Ashok Leyland ,Industrials ,Commercial vehicles & parts ,Chennai ,1948 
37,Asia MotorWorks ,Industrials ,Commercial vehicles & parts ,Mumbai ,2002 
38,Asian Paints ,Industrials ,Paints and coatings ,Mumbai ,1942 
39,Atul ,Chemicals ,Chemicals: diversified ,Ahmedabad ,1947 
40,Atul Auto ,Consumer goods ,Automobiles ,Rajkot ,1970 
41,Avantha Group ,Conglomerate ,— ,New Delhi ,1919 
42,Axis Bank ,Financials ,Banks ,Ahmedabad ,1993 
43,Bajaj Auto ,Consumer goods ,Automobiles ,Pune ,1945 
44,Bajaj Group ,Conglomerate ,— ,Pune ,1945 
45,Balaji Telefilms ,Consumer services ,Broadcasting & entertainment ,Mumbai ,1994 
46,Balaji Wafers ,Consumer goods ,Food products ,Mumbai ,1975 
47,Ballarpur Industries ,Basic materials ,Paper ,Gurugram ,1945 
48,Bank of Baroda ,Financials ,Banks ,Vadodara ,1908 
49,Bank of India ,Financials ,Banks ,Mumbai ,1906 
50,Bank of Maharashtra ,Financials ,Banks ,Pune ,1935 
51,Bellatrix Aerospace ,Industrials ,"Aerospace, space industry ",Bengaluru ,2015 
52,BEML ,Industrials ,Commercial vehicles & parts ,Bengaluru ,1964 
53,BGR Energy Systems ,Industrials ,Engineering and contracting services ,Chennai ,1952 
54,Bharat Aluminium Company ,Basic materials ,Aluminium ,New Delhi ,1965 
55,Bharat Biotech ,Health care ,Pharmaceuticals & biotechnology ,Hyderabad ,1996 
56,Bharat Dynamics Limited ,Industrials ,Aerospace & defense ,Hyderabad ,1970 
57,Bharat Electronics ,Industrials ,Aerospace & defense ,Bengaluru ,1954 
58,Bharat Forge ,Industrials ,Industrial engineering ,Pune ,1961 
59,Bharat Heavy Electricals Limited ,Industrials ,Electrical components ,New Delhi ,1964 
60,Bharat Petroleum ,Energy ,Oil refining & marketing ,Mumbai ,1976 
61,Bharat Sanchar Nigam Limited ,Telecommunications ,Telecommunications service providers ,New Delhi ,2000 
62,BHAVINI ,Energy ,Alternative energy ,Chennai ,2003 
63,Bharti Airtel ,Telecommunications ,Telecommunications services ,New Delhi ,1995 
64,Biocon ,Health care ,Pharmaceuticals & biotechnology ,Bengaluru ,1978 
65,Blue Star ,Consumer goods ,Consumer electronics ,Mumbai ,1943 
66,BluSmart Mobility ,Consumer goods ,Auto services ,Gurugram ,2019 
67,Bombay Dyeing ,Basic materials ,Textile products ,Mumbai ,1879 
68,Bonn Group of Industries ,Consumer goods ,Food products ,Ludhiana ,1985 
69,Borosil ,Industrials ,Glass ,Mumbai ,1962 
70,BPL Group ,Consumer goods ,Consumer electronics ,Palakkad ,1963 
71,BrahMos Aerospace ,Industrials ,Aerospace & defense ,New Delhi ,1998 
72,Brigade Enterprises ,Real estate ,Real estate ,Bangalore ,1986 
73,Britannia Industries ,Consumer goods ,Food products ,Kolkata ,1892 
74,Café Coffee Day ,Consumer services ,Restaurants & bars ,Bengaluru ,1996 
75,Canara Bank ,Financials ,Banks ,Bangalore ,1906 
76,CaratLane ,Retail ,Specialty retailers ,Chennai ,2008 
77,CEAT ,Consumer goods ,Tires ,Mumbai ,1958 
78,Celkon ,Consumer goods ,Consumer electronics ,Hyderabad ,2009 
79,Central Bank of India ,Financials ,Banks ,Mumbai ,1911 
80,Centum Electronics ,Industrials ,Electronic & electrical equipment ,Bangalore ,1993 
81,Century Plyboards ,Industrials ,Building materials: other ,Kolkata ,1986 
82,CESC Limited ,Utilities ,Alternative electricity ,Kolkata ,1897 
83,CG Power and Industrial Solutions ,Industrials ,Diversified industrials ,Mumbai ,1878 
84,Chennai Petroleum Corporation ,Energy ,Oil refining & marketing ,Chennai ,1965 
85,Cipla ,Health care ,Pharmaceuticals ,Mumbai ,1935 
86,City Union Bank ,Financials ,Banks ,Kumbakonam ,1904 
87,CMC ,Industrials ,Business support services ,New Delhi ,1975 
88,Coal India ,Energy ,Coal ,Kolkata ,1975 
89,Cochin Minerals and Rutile Limited ,Chemicals ,Specialty chemicals ,Kochi ,1989 
90,Cochin Shipyard ,Industrials ,Shipbuilding ,Kochi ,1972 
91,Computer Age Management Services ,Financials ,Investment services ,Chennai ,1988 
92,Container Corporation of India ,Industrials ,Railroads ,New Delhi ,1988 
93,Coromandel International ,Chemicals ,Fertilizers ,Hyderabad ,1960 
94,Cosmic Circuits ,Technology ,Semiconductors ,Bengaluru ,2005 
95,Crossword Bookstores ,Retail ,Specialty retailers ,Mumbai ,1992 
96,CSB Bank ,Financials ,Banks ,Thrissur ,1920 
97,Cyient ,Technology ,Software & IT services ,Hyderabad ,1991 
98,Dabur ,Health care ,Ayurvedic producers ,Ghaziabad ,1884 
99,Damodar Valley Corporation ,Utilities ,Conventional electricity ,Kolkata ,1948 
